File version,1
Project name,New Project
Source version,4.2.9.0
Latest result run time,2017-10-13 14:13:06
Simulation time,1900-01-01 - 1900-12-31
Field,Units,RunName,ScenarioName,ScenarioInputSetName,Name,Site,ElementName,WaterFeatureType,ElementType,Structure,Custom
EOC
206
1,ML.day^-1,(1) A test scenario with AWBM 0,A test scenario with AWBM 0,Default Input Set,Confluence: node #0: Downstream Flow,node #0,Downstream Flow,Confluence,Node,Downstream Flow,7592b694-59a3-4f07-805b-0e9a4f29949b,
2,ML,(1) A test scenario with AWBM 0,A test scenario with AWBM 0,Default Input Set,Confluence: node #0: Downstream Flow Volume,node #0,Downstream Flow Volume,Confluence,Node,Downstream Flow Volume,7592b694-59a3-4f07-805b-0e9a4f29949b,
3,ML,(1) A test scenario with AWBM 0,A test scenario with AWBM 0,Default Input Set,Confluence: node #0: Storage Volume,node #0,Storage Volume,Confluence,Node,Storage Volume,7592b694-59a3-4f07-805b-0e9a4f29949b,
4,ML.day^-1,(1) A test scenario with AWBM 0,A test scenario with AWBM 0,Default Input Set,Confluence: node #0: Upstream Flow,node #0,Upstream Flow,Confluence,Node,Upstream Flow,7592b694-59a3-4f07-805b-0e9a4f29949b,
5,ML,(1) A test scenario with AWBM 0,A test scenario with AWBM 0,Default Input Set,Confluence: node #0: Upstream Flow Volume,node #0,Upstream Flow Volume,Confluence,Node,Upstream Flow Volume,7592b694-59a3-4f07-805b-0e9a4f29949b,
6,ML.day^-1,(1) A test scenario with AWBM 0,A test scenario with AWBM 0,Default Input Set,Confluence: node #1: Downstream Flow,node #1,Downstream Flow,Confluence,Node,Downstream Flow,7592b694-59a3-4f07-805b-0e9a4f29949b,
7,ML,(1) A test scenario with AWBM 0,A test scenario with AWBM 0,Default Input Set,Confluence: node #1: Downstream Flow Volume,node #1,Downstream Flow Volume,Confluence,Node,Downstream Flow Volume,7592b694-59a3-4f07-805b-0e9a4f29949b,
8,ML,(1) A test scenario with AWBM 0,A test scenario with AWBM 0,Default Input Set,Confluence: node #1: Storage Volume,node #1,Storage Volume,Confluence,Node,Storage Volume,7592b694-59a3-4f07-805b-0e9a4f29949b,
9,ML.day^-1,(1) A test scenario with AWBM 0,A test scenario with AWBM 0,Default Input Set,Confluence: node #1: Upstream Flow,node #1,Upstream Flow,Confluence,Node,Upstream Flow,7592b694-59a3-4f07-805b-0e9a4f29949b,
10,ML,(1) A test scenario with AWBM 0,A test scenario with AWBM 0,Default Input Set,Confluence: node #1: Upstream Flow Volume,node #1,Upstream Flow Volume,Confluence,Node,Upstream Flow Volume,7592b694-59a3-4f07-805b-0e9a4f29949b,
11,ML.day^-1,(1) A test scenario with AWBM 0,A test scenario with AWBM 0,Default Input Set,Confluence: node #10: Downstream Flow,node #10,Downstream Flow,Confluence,Node,Downstream Flow,7592b694-59a3-4f07-805b-0e9a4f29949b,
12,ML,(1) A test scenario with AWBM 0,A test scenario with AWBM 0,Default Input Set,Confluence: node #10: Downstream Flow Volume,node #10,Downstream Flow Volume,Confluence,Node,Downstream Flow Volume,7592b694-59a3-4f07-805b-0e9a4f29949b,
13,ML,(1) A test scenario with AWBM 0,A test scenario with AWBM 0,Default Input Set,Confluence: node #10: Storage Volume,node #10,Storage Volume,Confluence,Node,Storage Volume,7592b694-59a3-4f07-805b-0e9a4f29949b,
14,ML.day^-1,(1) A test scenario with AWBM 0,A test scenario with AWBM 0,Default Input Set,Confluence: node #10: Upstream Flow,node #10,Upstream Flow,Confluence,Node,Upstream Flow,7592b694-59a3-4f07-805b-0e9a4f29949b,
15,ML,(1) A test scenario with AWBM 0,A test scenario with AWBM 0,Default Input Set,Confluence: node #10: Upstream Flow Volume,node #10,Upstream Flow Volume,Confluence,Node,Upstream Flow Volume,7592b694-59a3-4f07-805b-0e9a4f29949b,
16,ML.day^-1,(1) A test scenario with AWBM 0,A test scenario with AWBM 0,Default Input Set,Confluence: node #2: Downstream Flow,node #2,Downstream Flow,Confluence,Node,Downstream Flow,7592b694-59a3-4f07-805b-0e9a4f29949b,
17,ML,(1) A test scenario with AWBM 0,A test scenario with AWBM 0,Default Input Set,Confluence: node #2: Downstream Flow Volume,node #2,Downstream Flow Volume,Confluence,Node,Downstream Flow Volume,7592b694-59a3-4f07-805b-0e9a4f29949b,
18,ML,(1) A test scenario with AWBM 0,A test scenario with AWBM 0,Default Input Set,Confluence: node #2: Storage Volume,node #2,Storage Volume,Confluence,Node,Storage Volume,7592b694-59a3-4f07-805b-0e9a4f29949b,
19,ML.day^-1,(1) A test scenario with AWBM 0,A test scenario with AWBM 0,Default Input Set,Confluence: node #2: Upstream Flow,node #2,Upstream Flow,Confluence,Node,Upstream Flow,7592b694-59a3-4f07-805b-0e9a4f29949b,
20,ML,(1) A test scenario with AWBM 0,A test scenario with AWBM 0,Default Input Set,Confluence: node #2: Upstream Flow Volume,node #2,Upstream Flow Volume,Confluence,Node,Upstream Flow Volume,7592b694-59a3-4f07-805b-0e9a4f29949b,
21,ML.day^-1,(1) A test scenario with AWBM 0,A test scenario with AWBM 0,Default Input Set,Confluence: node #3: Downstream Flow,node #3,Downstream Flow,Confluence,Node,Downstream Flow,7592b694-59a3-4f07-805b-0e9a4f29949b,
22,ML,(1) A test scenario with AWBM 0,A test scenario with AWBM 0,Default Input Set,Confluence: node #3: Downstream Flow Volume,node #3,Downstream Flow Volume,Confluence,Node,Downstream Flow Volume,7592b694-59a3-4f07-805b-0e9a4f29949b,
23,ML,(1) A test scenario with AWBM 0,A test scenario with AWBM 0,Default Input Set,Confluence: node #3: Storage Volume,node #3,Storage Volume,Confluence,Node,Storage Volume,7592b694-59a3-4f07-805b-0e9a4f29949b,
24,ML.day^-1,(1) A test scenario with AWBM 0,A test scenario with AWBM 0,Default Input Set,Confluence: node #3: Upstream Flow,node #3,Upstream Flow,Confluence,Node,Upstream Flow,7592b694-59a3-4f07-805b-0e9a4f29949b,
25,ML,(1) A test scenario with AWBM 0,A test scenario with AWBM 0,Default Input Set,Confluence: node #3: Upstream Flow Volume,node #3,Upstream Flow Volume,Confluence,Node,Upstream Flow Volume,7592b694-59a3-4f07-805b-0e9a4f29949b,
26,ML.day^-1,(1) A test scenario with AWBM 0,A test scenario with AWBM 0,Default Input Set,Confluence: node #4: Downstream Flow,node #4,Downstream Flow,Confluence,Node,Downstream Flow,7592b694-59a3-4f07-805b-0e9a4f29949b,
27,ML,(1) A test scenario with AWBM 0,A test scenario with AWBM 0,Default Input Set,Confluence: node #4: Downstream Flow Volume,node #4,Downstream Flow Volume,Confluence,Node,Downstream Flow Volume,7592b694-59a3-4f07-805b-0e9a4f29949b,
28,ML,(1) A test scenario with AWBM 0,A test scenario with AWBM 0,Default Input Set,Confluence: node #4: Storage Volume,node #4,Storage Volume,Confluence,Node,Storage Volume,7592b694-59a3-4f07-805b-0e9a4f29949b,
29,ML.day^-1,(1) A test scenario with AWBM 0,A test scenario with AWBM 0,Default Input Set,Confluence: node #4: Upstream Flow,node #4,Upstream Flow,Confluence,Node,Upstream Flow,7592b694-59a3-4f07-805b-0e9a4f29949b,
30,ML,(1) A test scenario with AWBM 0,A test scenario with AWBM 0,Default Input Set,Confluence: node #4: Upstream Flow Volume,node #4,Upstream Flow Volume,Confluence,Node,Upstream Flow Volume,7592b694-59a3-4f07-805b-0e9a4f29949b,
31,ML.day^-1,(1) A test scenario with AWBM 0,A test scenario with AWBM 0,Default Input Set,Confluence: node #5: Downstream Flow,node #5,Downstream Flow,Confluence,Node,Downstream Flow,7592b694-59a3-4f07-805b-0e9a4f29949b,
32,ML,(1) A test scenario with AWBM 0,A test scenario with AWBM 0,Default Input Set,Confluence: node #5: Downstream Flow Volume,node #5,Downstream Flow Volume,Confluence,Node,Downstream Flow Volume,7592b694-59a3-4f07-805b-0e9a4f29949b,
33,ML,(1) A test scenario with AWBM 0,A test scenario with AWBM 0,Default Input Set,Confluence: node #5: Storage Volume,node #5,Storage Volume,Confluence,Node,Storage Volume,7592b694-59a3-4f07-805b-0e9a4f29949b,
34,ML.day^-1,(1) A test scenario with AWBM 0,A test scenario with AWBM 0,Default Input Set,Confluence: node #5: Upstream Flow,node #5,Upstream Flow,Confluence,Node,Upstream Flow,7592b694-59a3-4f07-805b-0e9a4f29949b,
35,ML,(1) A test scenario with AWBM 0,A test scenario with AWBM 0,Default Input Set,Confluence: node #5: Upstream Flow Volume,node #5,Upstream Flow Volume,Confluence,Node,Upstream Flow Volume,7592b694-59a3-4f07-805b-0e9a4f29949b,
36,ML.day^-1,(1) A test scenario with AWBM 0,A test scenario with AWBM 0,Default Input Set,Confluence: node #6: Downstream Flow,node #6,Downstream Flow,Confluence,Node,Downstream Flow,7592b694-59a3-4f07-805b-0e9a4f29949b,
37,ML,(1) A test scenario with AWBM 0,A test scenario with AWBM 0,Default Input Set,Confluence: node #6: Downstream Flow Volume,node #6,Downstream Flow Volume,Confluence,Node,Downstream Flow Volume,7592b694-59a3-4f07-805b-0e9a4f29949b,
38,ML,(1) A test scenario with AWBM 0,A test scenario with AWBM 0,Default Input Set,Confluence: node #6: Storage Volume,node #6,Storage Volume,Confluence,Node,Storage Volume,7592b694-59a3-4f07-805b-0e9a4f29949b,
39,ML.day^-1,(1) A test scenario with AWBM 0,A test scenario with AWBM 0,Default Input Set,Confluence: node #6: Upstream Flow,node #6,Upstream Flow,Confluence,Node,Upstream Flow,7592b694-59a3-4f07-805b-0e9a4f29949b,
40,ML,(1) A test scenario with AWBM 0,A test scenario with AWBM 0,Default Input Set,Confluence: node #6: Upstream Flow Volume,node #6,Upstream Flow Volume,Confluence,Node,Upstream Flow Volume,7592b694-59a3-4f07-805b-0e9a4f29949b,
41,ML.day^-1,(1) A test scenario with AWBM 0,A test scenario with AWBM 0,Default Input Set,Confluence: node #7: Downstream Flow,node #7,Downstream Flow,Confluence,Node,Downstream Flow,7592b694-59a3-4f07-805b-0e9a4f29949b,
