Date,Inflow,Rainfall,PET
01/01/1901,0.1469,0,3.2992
02/01/1901,0.1381,3.3983,3.2992
03/01/1901,0.5186,6.8529,3.2992
04/01/1901,0.8163,1.0206,3.2992
05/01/1901,0.7895,4.2553,3.2992
06/01/1901,3.2796,34.572,3.2992
07/01/1901,2.3858,0,3.2992
08/01/1901,1.5464,0,3.2992
09/01/1901,1.0746,0,3.2992
10/01/1901,0.8072,0,3.2992
11/01/1901,0.6536,0,3.2992
12/01/1901,0.5633,0,3.2992
13/01/1901,0.5083,0,3.2992
14/01/1901,0.473,0,3.2992
15/01/1901,0.4489,0,3.2992
16/01/1901,0.431,0.1968,3.2992
17/01/1901,0.4167,0.0038,3.2992
18/01/1901,2.2677,23.7419,3.2992
19/01/1901,1.6556,0.6581,3.2992
20/01/1901,1.1583,0,3.2992
21/01/1901,0.8762,0,3.2992
22/01/1901,0.7139,0,3.2992
23/01/1901,0.6182,0,3.2992
24/01/1901,0.5598,0,3.2992
25/01/1901,0.5221,0,3.2992
26/01/1901,0.4961,0,3.2992
27/01/1901,0.4767,0,3.2992
28/01/1901,0.4611,0,3.2992
29/01/1901,0.4477,0,3.2992
30/01/1901,0.4357,0,3.2992
31/01/1901,0.4245,0,3.2992
01/02/1901,0.4129,0,4.2595
02/02/1901,0.4028,0,4.2595
03/02/1901,0.393,0,4.2595
04/02/1901,0.3834,0,4.2595
05/02/1901,0.3742,0,4.2595
06/02/1901,0.3651,0,4.2595
07/02/1901,0.3563,0,4.2595
08/02/1901,0.3477,0,4.2595
09/02/1901,1.6435,16.1913,4.2595
10/02/1901,1.9252,0.9432,4.2595
11/02/1901,1.2667,0.0367,4.2595
12/02/1901,2.685,20.007,4.2595
13/02/1901,4.8007,42.9394,4.2595
14/02/1901,0.7367,0.0116,4.2595
15/02/1901,2.354,14.7893,4.2595
16/02/1901,1.0012,4.11,4.2595
17/02/1901,0.7716,0,4.2595
18/02/1901,0.7489,0,4.2595
19/02/1901,0.7286,0,4.2595
20/02/1901,0.7098,0,4.2595
21/02/1901,5.8643,50.0672,4.2595
22/02/1901,0.8788,0.6827,4.2595
23/02/1901,0.8578,0.0755,4.2595
24/02/1901,0.8373,0,4.2595
25/02/1901,0.8173,0,4.2595
26/02/1901,0.7977,0,4.2595
27/02/1901,0.7786,0,4.2595
28/02/1901,0.76,0,4.2595
01/03/1901,0.7407,0,5.3627
02/03/1901,0.7229,0,5.3627
03/03/1901,0.7056,0,5.3627
04/03/1901,0.6887,0,5.3627
05/03/1901,0.6722,0,5.3627
06/03/1901,0.656,0,5.3627
07/03/1901,1.5807,10.514,5.3627
08/03/1901,2.264,4.2071,5.3627
09/03/1901,1.5229,0.1968,5.3627
10/03/1901,1.1397,0,5.3627
11/03/1901,0.9197,0,5.3627
12/03/1901,0.7905,0,5.3627
13/03/1901,0.712,0,5.3627
14/03/1901,0.6619,0,5.3627
15/03/1901,0.6276,0,5.3627
16/03/1901,0.6023,0,5.3627
17/03/1901,0.5821,0,5.3627
18/03/1901,0.565,0,5.3627
19/03/1901,0.5497,0,5.3627
20/03/1901,0.5355,0,5.3627
21/03/1901,0.522,0.0062,5.3627
22/03/1901,0.5092,0,5.3627
23/03/1901,0.4968,0,5.3627
24/03/1901,0.4847,0.0087,5.3627
25/03/1901,0.473,0,5.3627
26/03/1901,0.4616,0,5.3627
27/03/1901,0.4504,0,5.3627
28/03/1901,0.4396,0,5.3627
29/03/1901,0.429,0,5.3627
30/03/1901,0.4186,0,5.3627
31/03/1901,0.4085,0,5.3627
01/04/1901,0.3976,0,6.3788
02/04/1901,0.388,0,6.3788
03/04/1901,0.3786,0,6.3788
04/04/1901,0.3694,0,6.3788
05/04/1901,0.3605,1.4791,6.3788
06/04/1901,0.6265,4.5283,6.3788
07/04/1901,0.9177,0,6.3788
08/04/1901,0.6704,0,6.3788
09/04/1901,0.5291,0,6.3788
10/04/1901,0.4467,0.5659,6.3788
11/04/1901,0.3972,0,6.3788
12/04/1901,0.45,3.5283,6.3788
